en,ro
That decision will have far-reaching and serious consequences.,Acea decizie va avea consecințe profunde și grave.
I promise that I'll find out who did this.,Promit că voi afla cine a făcut asta.
I lost my receipt. Can I still get a refund?,Mi-am pierdut chitanţa. Mai pot primi banii înapoi?
Nobody taught me.,Nimeni nu m-a învățat.
Students should make the most of their free time.,Studenţii ar trebui să îşi folosească la maximum timpul lor liber.
Korean food is generally very hot.,Mâncarea coreană este de obicei foarte condimentată.
Free yourself from prejudice.,Eliberează-te de prejudecăți.
You have seven blankets.,Aveți șapte pături.
It's 5:00 a.m. here in Brazil.,"Este ora 5:00 fix, aici, în Brazilia."
We live in a global community.,Trăim într-o comunitate globală.
Where's your school?,Unde este școala ta?
What do your parents want for Christmas?,Ce vor părinții tăi de Crăciun?
She always got up early.,Ea mereu s-a trezit devreme.
It's really good.,E chiar bine.
I agree with your assessment.,Sunt de acord cu evaluarea ta.
Please go away!,Te rog să mă lași!
Is everything ready?,E totul gata?
We should do our best.,Ar trebui să facem tot ce putem.
Tom pretended not to know who Mary was.,Tom pretindea că nu ştie cine e Mary.
The Communists launched a major military campaign.,Comuniștii au lansat o însemnată campanie militară.
They can finish their homework after dinner.,Ei își pot termina temele după cină.
Tom used to go to Boston every summer when he was a kid.,Tom obișnuia să se ducă în Boston în fiecare vară când era copil.
I'm a vegetarian who eats a ton of meat.,Sunt un vegetarian care mănâncă tone de carne.
Please don't run in the classroom.,Vă rog nu alergați în clasă.
You've made progress.,Ai făcut progrese.
I'll always believe in you.,Voi avea încredere în tine mereu.
Brilliant!,Excelent!
It was grueling work.,A fost o muncă istovitoare.
They just don't trust you.,Ei chiar nu au încredere în tine.
The books are on the table.,Cărțile sunt pe masă.
He counts fast.,El numără repede.
"This place is large, isn't it?","Locul ăsta e larg, așa-i?"
It looks like the dog wants something to eat.,Arată ca și cum câinele vrea ceva să mănânce.
I can't show you.,Nu pot să-ți arăt.
He can play a flute.,El știe să cânte la flaut.
It's awfully hot today.,Astăzi este foarte cald.
That isn't for Tom.,Asta nu este pentru Tom.
Is he a doctor?,Este el doctor?
Tom is a handsome man.,Tom este un bărbat chipeș.
It's your only shot.,Este singura ta ocazie.
You don't say.,Serios?
Ozone is a molecule comprised of three oxygen atoms that occurs naturally in small amounts.,Ozonul este o moleculă compusă din trei atomi de oxigen și apare în natură în cantități reduse.
All the passengers got seasick during the storm.,Toți pasagerii au avut rău de mare în timpul furtunii.
I don't know exactly where I am.,Nu știu exact unde sunt.
Are you busy?,Sunteți ocupat?
"If you want to sound like a native speaker, listen to native speakers whenever possible.","Dacă vrei să pari vorbitor nativ, ascultă vorbitori nativi de câte ori este posibil."
I won't buy the car tomorrow.,Nu voi cumpăra mașina mâine.
"Due to a technical malfunction, this train's service will be henceforth discontinued.","Din cauza unei defecțiuni tehnice, de acum înainte, serviciul acestui tren va fi întrerupt."
Did you bring popcorn?,Ai adus floricele de porumb?
I'd appreciate it if someone translated my comment.,Aș aprecia dacă cineva mi-ar traduce comentariul.
Tom isn't a monk.,Tom nu este călugăr.
"Reportedly, there were no casualties.","Potrivit surselor, nu au existat victime."
I think that Tom is reading a detective novel.,Cred că Tom citește un roman polițist.
I'd like to meet with her.,Mi-ar plăcea să mă întâlnesc cu ea.
I regret nothing.,Nu regret nimic.
Tom learned to ride a bike when he was ten years old.,Tom a învățat să meargă pe bicicletă când avea zece ani.
Tom is sitting by the window.,Tom stă la fereastră.
My native language is a foreign language for someone else.,Limba mea maternă este o limbă străină pentru altcineva.
You don't eat anything.,Nu mănânci nimic.
Tom always prays before eating.,Tom se roagă întotdeauna înainte de a mânca.
The milk turned sour.,Laptele s-a acrit.
"With the arrival of winter, the leaves on the trees fall down.","Odată cu venire iernii, cad frunzele de pe copaci."
In France did you work at the embassy or in the consulate?,În Franța ați lucrat la ambasadă sau la consulat?
One can't expect everything from schools.,Nu se poate aștepta totul de la școli.
There wasn't a soul.,Nu era țipenie de om.
Let's clean up.,Să facem curățenie.
Something's not right here.,E ceva în neregulă aici.
The bus drivers are going on strike today.,Conducătorii de autobuze vor face grevă astăzi.
You're in a good mood today. Did something nice happen?,"Astăzi, starea ta de spirit este bună. S-a întâmplat ceva frumos?"
Are you angry?,Ești supărat?
The economy is in turmoil once again.,Economia este încă o dată în criză.
I'll tell you what happened.,Îți voi spune ce s-a întâmplat.
I'll be very busy next month.,Voi fi foarte ocupat luna viitoare.
I'm meeting a friend after school.,Mă întâlnesc cu un prieten după școală.
It is very hot today.,Astăzi este foarte cald.
I was at home.,Eram acasă.
I suppose you are right.,Presupun că ai dreptate.
Tom reads to his daughter.,Tom îi citește fiicei lui.
You're my daughter.,Ești fiica mea.
This is only a temporary setback.,Acesta este doar un obstacol temporar.
Tom has no more strength.,Tom nu mai are putere.
"His legs are as pillars of marble, set upon sockets of fine gold.",Picioarele îi sunt stâlpi de alabastru aşezaţi pe piedestale de aur curat.
This is just a hypothesis.,Aceasta este doar o ipoteză.
"Don't be ridiculous! We are not descended from apes, we only have a common ancestor.","Nu fii ridicol! Nu am provenit de la maimuţă, noi doar avem un strămoş comun."
The world seems to get smaller.,Lumea pare să devină mai mică.
Winter is snow time.,Iarna este vremea zăpezii.
Tom just lent me some books.,Tom tocmai mi-a împrumutat niște cărți.
Did Tom really do that?,Chiar a făcut Tom asta?
Preventive measures are much more effective than the actual treatment.,Măsurile preventive sunt mult mai eficiente decât tratamentul concret.
This room is not suitable for sleeping.,Această cameră nu este potrivită pentru dormit.
I was in the mountains.,Am fost în munți.
What would you like to eat?,Ce vrei să mănânci?
"In case of fire, press this button.","În caz de incendiu, apăsați pe acest buton."
Thank you very much. You should also feel free to ask me for help in the future.,"Vă mulțumesc foarte mult. De asemenea, ar trebui să nu ezitați să îmi cereți ajutorul pe viitor."
I wish I had gone to Boston with Tom.,Mi-aș fi dorit să fi mers la Boston cu Tom.
I was able to pass the exam.,Am reuşit să trec examenul.
She looked him right in the eye.,Ea l-a privit direct în ochi.
We have a surplus.,Avem un surplus.
The New York Stock Exchange closed for ten days.,Bursa de acțiuni de la New York s-a închis pentru zece zile.
The actor’s career lasted for thirty years.,Cariera actorului s-a întins pe treizeci de ani.
Tomorrow's payday.,Mâine este ziua când primesc salariul.
The government's investment will create many jobs.,Investiția guvernului va crea multe locuri de muncă.
Everybody applauded.,Toți au aplaudat.
People who ignore history tend to repeat it.,Oamenii care ignoră istoria tind să o repete.
Tom doesn't like hot food.,Lui Tom nu-i place mâncarea fierbinte.
Tom is stronger than I am.,Tom este mai puternic decât mine.
Tom wanted to set the record straight.,Tom a vrut să clarifice lucrurile.
Tom says he wants to study French.,Tom spune că vrea să studieze franceza.
Tom has no shortage of friends.,Tom nu duce lipsă de prieteni.
The guards didn't see them.,Paznicii nu i-au văzut.
I'm not a nerd!,Nu sunt un tocilar!
Truth is a dangerous thing.,Adevărul e un lucru periculos.
I'd like to buy a Picasso.,Mi-ar plăcea să cumpăr un Picasso.
Tom isn't obese.,Tom nu este obez.
I have no self-esteem.,Nu am nici o stimă de sine.
They simply need a scapegoat.,"Ei, pur și simplu, au nevoie de un țap ispășitor."
Mars has two moons.,Marte are doi sateliți.
I think Tom and Mary are both still in prison.,Cred că Tom și Mary sunt încă amândoi la închisoare.
It was ridiculously hot.,Era ridicol de fierbinte.
Mary doesn't have a husband.,Mary nu are un soț.
Do you have a Youtube channel?,Ai un canal de Youtube?
I can't understand why you don't want to eat with Tom.,Nu pot să pricep de ce nu vrei să mănânci cu Tom.
He writes books.,El scrie cărţi.
I could not make myself heard on account of the noise.,Nu m-am putut face auzită din cauza zgomotului.
I promised Tom we wouldn't do that.,I-am promis lui Tom că nu vom face asta.
What do you believe is true even though you cannot prove it?,"Ce credeți că e adevărat, chiar dacă nu puteți dovedi?"
I read a letter.,Am citit o scrisoare.
It annoys me if you speak your American English without opening your mouth.,"Mă enervează, dacă vorbeşti engleza ta americană, fără să deschizi gura."
Rarely does he go out on Sunday.,Rar iese duminica.
He lives far away from his hometown.,El locuiește foarte departe de orașul său natal.
Tom has decided to learn French.,Tom a decis să învețe limba franceză.
You are the last person I expected to see here.,Eşti ultima persoană pe care mă aşteptam să o văd aici.
Tom wanted everyone to think he'd died.,Tom voia ca toţi să creadă că murise.
How did she tell them?,Cum le-a spus?
Tom asked Mary what she thought of John.,Tom a întrebat-o pe Mary ce crede ea despre John.
He went out in anger.,A ieşit mânios.
Her mother is writing a letter.,Mama ei scrie o scrisoare.
"You've been drinking, haven't you?","Ai băut, nu-i aşa?"
"The day was stormy, and what was worse still, it was thundering.",Ziua a fost furtunoasă şi ceea ce a fost încă şi mai rău a fost că fulgera.
Who found my missing book?,Cine mi-a găsit cartea pierdută?
His wife repulsed him on the pretext that her headaches were flaring up again.,Soția lui l-a respins sub pretextul că durerile de cap au izbucnit din nou.
I've already chosen.,Deja am ales.
The clouds are rolling away.,Norii se îndepărtează rostogolindu-se.
"There's no point saying ""Hi, how are you?"" to me if you have nothing else to say.","Nu are rost să-mi spui „Salut, ce mai faci?” dacă n-ai nimic altceva de spus."
Nobody came to my rescue.,Nimeni nu a venit să mă salveze.
He was cleaning his room.,El făcea curățenie în camera lui.
Melanie said that she likes swimming.,Melanie a spus că îi place înotul.
Thank God they came out unscathed from the accident.,"Mulțumesc lui Dumnezeu, ei au scăpat nevătămați din accident."
The woman eats an orange.,Femeia mănâncă o portocală.
I spent the weekend with my grandma.,Mi-am petrecut weekend-ul cu bunica mea.
"My lecture will be next Saturday, November 29, 2014, at 10:30 a.m.","Conferința mea va avea loc sâmbăta viitoare, în luna noiembrie, pe data de 29.11.2014, la ora 10:30."
If you find yourself in quicksand you'll sink more slowly if you don't move.,"Dacă vă aflați în nisipuri mișcătoare, vă veți scufunda mai lent dacă nu vă mișcați."
Do you drink water?,Bei apă?
It's summer already.,E deja vară.
Tell me about it!,Povestește-mi!
I saw a fight.,Am văzut o bătaie.
I should've sent a letter of apology.,Ar fi trebuit să trimiți o scrisoare în care să-ți ceri scuze.
A farewell party was held in honor of Mr. Tanaka.,O petrecere de rămas bun a fost ţinută în onoarea d-lui Tanaka.
The disappearances in the Bermuda Triangle are inexplicable.,Disparițiile din Triunghiul Bermudelor sunt inexplicabile.
Why is alternative energy important?,De ce este importantă energia alternativă?
They like snow.,Lor le place zăpada.
I was desperate.,Am fost disperat.
Cement hardens in two or three hours.,Cimentul se întărește în două sau trei ore.
Mary almost always does what she promises to do.,Mary mai tot timpul face ceea ce promite.
I would've gone to the movies if I'd had the time.,Mergeam la film dacă aveam timp.
A storm prevented the plane from taking off.,O furtună nu i-a permis avionului să decoleze.
Tom is coming back home tonight.,Tom se întoarce diseară.
Please refrain from smoking.,Te rog să te abții de la fumat.
My mother's name is Ina.,Numele mamei mele este Ina.
Tom said that he'd sort it out.,Tom a spus că o va rezolva.
Sami has a stuffy nose.,Sami are nasul înfundat.
Tom poured himself a glass of milk.,Tom și-a turnat un pahar de lapte.
That is poison as well.,Și aceasta este otrăvitoare.
The Kaiser asked Theodore Roosevelt to intervene.,Kaizerul i-a cerut lui Theodore Roosevelt să intervină.
Leave your suitcase here.,Lasă-ți valiza aici.
They wanted protection.,Ei vreau protecție.
"If you can read this sentence, it's because you know how to read.","Dacă poți citi această propoziție, este datorită că știi să citești."
"""Do you speak German?"" ""No, I don't.""","""Vorbiți nemțească?"" ""Nu, eu nu."""
Are they friends of yours?,Sunt prieteni de-ai tăi?
"Should anything arise, she will be prepared for it.","Orice s-ar ivi, ea va fi pregătită."
The best way to solve a problem is sometimes the simplest.,Cel mai bună metodă de a rezolva o problemă este uneori cea mai simplă.
I don't care what you think.,Nu mă interesează ce crezi tu.
I paid attention to what Tom and Mary were saying.,Am fost atent la ce spuneau Tom și Mary.
Tom was thoroughly depressed.,Tom era complet deprimat.
Tomorrow's a holiday.,Mâine e sărbătoare.
He's kicking me.,Mă lovește!
It may not be a good idea to eat while you are running.,Poate că nu e o idee bună să mănânci în timp ce alergi.
Come hither.,Vino încoace!
Please accompany me.,Vă rog să mă însoțiți.
We agreed that something must be done.,Am convenit că ceva trebuie făcut.
"To the best of my knowledge, Tom can't swim.","Din câte știu, Tom nu poate înota."
He can pull strings for you.,El poate trage niște sfori pentru tine.
Shoes are sold in pairs.,Pantofii se vând la pereche.
Is it a social problem?,Este o problemă socială?
This hall contains two thousand people.,Două mii de oameni se află în această sală.
Waiting isn't a good idea.,Așteptarea nu e o idee bună.
Tom has a lot of experience in computers.,Tom are o experienţă bogată în computatoare.
Did you come to town?,Ai venit în oraș?
Organisms have determinate lifespans.,Organismele au durate de viață limitate.
This is the place where the accident happened.,Acesta este locul unde s-a întâmplat accidentul.
My parents prohibited me from seeing Tom again.,Părinții mei mi-au interzis să îl mai văd pe Tom vreodată.
It's an heirloom. Been in my family for generations.,Este o moștenire de familie. A fost în familia mea de generații întregi.
Could you tell me the way to the subway station?,Poți să-mi spui cum să ajung la stația de metro?
Can we provide assistance?,Putem noi furniza asistență?
Poyang Lake is the largest freshwater lake in China.,Lacul Poyang este cel mai mare lac de apă dulce din China.
Tom had a good opinion of Mary.,Tom avea o opinie bună despre Mary.
These guys are pure genius.,Tipii ăștia sunt niște genii.
Tom looks youthful.,Tom arată tânăr.
Tom is somewhat pessimistic.,Tom este oarecum pesimist.
Tom and Mary always play tennis on Saturday morning.,Tom și Mary întotdeauna joacă tenis sâmbătă de dimineață.
Their stories are tightly intertwined.,Poveștile lor sunt strâns legate între ele.
Justice demands retribution!,Justiția cere pedeapsă!
I love pickles.,Îmi plac murăturile.
I talked to all three of them.,Am vorbit cu toți trei.
How long does it take to the train station by taxi?,Cît timp va dura călătoria cu taxiul pînă la gara feroviară?
Ken has not been here since this morning.,Ken nu a fost aici de astă dimineaţă.
I couldn't sleep because of the heat.,Nu am putut dormi din cauza căldurii.
Tomorrow it will rain.,Mâine va ploua.
Do you understand the concept of the time value of money?,Înțelegi conceptul valorii în timp a banilor?
The government collapsed after a vote in parliament.,Guvernul a căzut după un vot în parlament.
I have lost my pencil.,Am pierdut cerionul meu.
I was present at school yesterday.,Ieri am fost prezent la școală.
I need to charge my mobile.,Trebuie să îmi încarc telefonul mobil.
Meg has a knack for languages.,Meg are talent pentru limbile străine.
"If it rains tomorrow, I will not be going.","Dacă mâine plouă, nu voi merge."
Tom stared at Mary in disbelief.,Tom se holba la Maria cu neîncredere.
An odd shoe was left on the doorstep.,Un pantof desperecheat a fost lăsat pe pragul uşii.
Business is business.,Afacerile sunt afaceri.
The president was forced to return to Washington.,Președintele a fost obligat să se reîntoarcă la Washington.
Tom readily admits his mistakes.,Tom își recunoaște greșelile cu ușurință.
"When I left the train station, I saw a man.","Când am plecat de la gară, am văzut un bărbat."
The present time is a good time.,Timpul prezent e un timp bun.
It snowed last night.,A nins noaptea trecută.
Crying is of no avail.,Plânsul nu are nici un rezultat.
Indeed!,Într-adevăr!
I bet my bottom dollar he is innocent.,Sunt sigur că el e nevinovat.
You can't use this faucet. It's out of order.,Nu puteţi folosi acest robinet; este stricat.
"Over time, wave action undercuts sea cliffs and thereby causes them to fall into the ocean.","De-a lungul timpului, acțiunea valurilor erodează stâncile și, prin urmare, le face să cadă în ocean."
Take me with you.,Ia-mă cu tine.‎
"If there's no solution, then there's no problem.","Dacă nu există soluție, atunci nu e o problemă."
Wonderful.,Minunat.
"When I saw the picture, I remembered the story.",Mi-am adus aminte de poveste atunci când am văzut poza.
Mike acted as chairperson of the meeting.,Mike a acţionat în calitate de preşedinte al reuniunii.
Will you show me what you bought yesterday?,Îmi vei arăta ce ai cumpărat ieri?
I just got a job.,Am fost angajat.
"No matter what you say, I won't give up.","Nu contează ce spui, eu nu voi renunța."
He won the race easily.,El a câștigat cursa ușor.
His overbearing manner infuriates me.,Atitudinea lui arogantă mă înfurie.
It's normal in Brazil.,Acest lucru este normal în Brazilia.
He now was sixty-eight years old and a sick man.,Acum era de şaizeci şi opt de ani şi un om bolnav.
"Even though Tom is only thirteen years old, he speaks like an adult.","Chiar dacă Tom are doar treisprezece ani, vorbește ca un adult."
Don't pay attention to him.,Nu-l asculta.
Who knows?,Cine știe?!
No one can keep me from going there.,Nimeni nu mă poate reține să merg acolo.
I just showered.,Tocmai am făcut un duș.
They felt he had no chance to win the election.,Au simțit că el nu avea nici o șansă de a câștiga alegerile.
Tom looks young.,Tom pare tânăr.
I was rereading the letters you sent to me.,Reciteam scrisorile pe care mi le-ai trimis.
You can't agree with everyone about everything.,Nu poţi fi de acord cu toată lumea despre orice.
My wife's name is Lidia Zarębowa.,Numele soției mele este Lidia Zarębowa.
Tom doesn't like me.,Tom nu mă place.
Ignorant people are usually very arrogant.,Oamenii ignoranți sunt deobicei foarte aroganți.
Lee did not agree that the situation was hopeless.,Lee nu a fost de acord că situația era fără speranță.
Don't come back.,Nu te întoarce.
"You were a waiter, weren't you?","Tu ai fost chelner, nu-i așa?"
Can you estimate its value?,Îi poți estima valoarea?
There are many different people in Europe.,Sunt mulți oameni diferiți în Europa.
People that have experienced so-called 'lucid dreams' often describe them as being 'more real than reality'. They also describe reality after waking up from a 'lucid dream' to be like a 'whimsical dream'.,"Oamenii care au experimentat așa-numitele vise lucide, le descriu de obicei ca fiind mai reale decât realitatea. Ei de asemenea descriu realitatea după ce s-au trezit dintr-un vis lucid ca fiind asemeni unui vis bizar."
I live in a European country.,Eu trăiesc într-o țară europeană.
Melanie killed a spider with her hand.,Melanie a omorât un păianjen cu mâna ei.
Why don't we go home?,De ce nu mergem acasă?
Aaah!! My computer is broken!,Aaah!! Calculatorul meu s-a stricat!
Hugs!,Îmbrățișări.
We have a big supermarket.,Noi avem un supermarket mare.
His camera is three times as expensive as mine.,Aparatul lui foto este de trei ori mai scump decât al meu.
Jack is quiet now.,Jack e tăcut acum.
Everyone appreciated his gesture.,Toți au apreciat gestul său.
Tom has a pain in the shoulder.,Tom are o durere la umăr.
Tom's father's name is John.,Tatăl lui Tom se numește John.
Prejudice will continue to exist.,Prejudecata va continua să existe.
They had nothing to lose.,Nu aveau nimic de pierdut.
I wanted to become a philosopher.,Am vrut să devin filozof.
Tom was genuinely surprised.,Tom a fost surprins cu adevărat.
A niece is a daughter of one's brother or sister.,Nepoata este fiica fratelui sau surorii tale.
This is a completely false accusation.,Aceasta este o acuzație complet falsă.
I'll get in touch with you as soon as I return from America.,Te voi contacta imediat după ce mă întorc din America.
His wife has him under the thumb.,Soția îl ține sub papuc.
Thank you for your hospitality.,Vă mulțumim pentru ospitalitatea voastră.
Can you help out?,Poți să ajuți?
Giovanni and Sara got married 2 years ago in Germany.,Giovanni și Sara s-au căsătorit acum 2 ani în Germania.
Nobody noticed that the picture was hung upside down.,Nimeni nu a observat că tabloul a fost agățat cu susul în jos.
He knew how to put his ideas across.,El știa cum să-și explice ideile.
"Wow, that's a big clock! Yes, it's a grandfather clock.","Vai, ce ceas mare! Da, este al bunicului."
We haven't run out of water yet.,Nu am rămas fără apă încă.
The police will just take the money and probably won't even look for the owner.,Poliția va lua doar banii și poate nici măcar nu vor căuta proprietarul.
"When in doubt, in favour of the accused.",De îndoială profită învinuitul.
Is it a recent picture?,Este asta o poză recentă?
We launched model rockets every weekend.,Noi lansam modele de rachete în fiecare weekend.
Tom seems very sure of himself.,Tom pare foarte sigur pe el.
Where did you procure the information?,De unde ai făcut rost de informație?
Today is extremely hot.,Azi e foarte cald.
I was accustomed to heat.,Eram obișnuită cu căldura.
Young people grew up with the Internet.,Generația tânără a crescut cu Internetul.
She can be a bit of a handful.,Ea poate fi cam greu de controlat.
Zero is a special number.,Zero este un număr special.
"Thanks, that's all.","Mulțumesc, asta e tot."
Don't waste ammunition.,Nu irosiți muniția.
She made friends with him in Boston.,Ea s-a împrietenit cu el în Boston.
Face life with a smile!,Înfruntă viața cu un zâmbet!
We apologize.,Ne cerem scuze.
Why did you marry me?,De ce te-ai căsătorit cu mine?
I'm not lowering your salaries.,Nu vă micșorez salariile.
This book's new.,Cartea asta e nouă.
"So, what's the problem?","Deci, care e problema?"
He paid $20 for the lipstick.,A plătit 20$ pentru ruj.
She's happy.,Ea este fericită.
"During hard times, people might not go on a trip, but they might be willing to pay extra for good coffee.",În timpurile grele poate că oamenii nu pleacă în vacanță și sunt mai dispuși să plătească în plus pentru o cafea bună.
There are abundant food supplies.,Există surse de hrană abundente.
What do you think about her?,Ce părere ai de ea?
I'm beside myself with joy.,Mă susțin cu bucurie.
He took an oral examination.,El a dat examenul oral.
Are you the one who wrote that report?,Ești tu cel care a scris acel raport?
Close the book.,Închide cartea.
She's very busy on Friday.,Ea este foarte ocupata vinerea.
Here comes the bus!,Iată autobuzul!
When?,Când?
We have to keep this secret.,Trebuie să ținem asta secretă.
Children need love.,Copiii au nevoie de iubire.
Tom was extremely unlucky.,Tom a fost deosebit de ghinionist.
Doesn't that change things?,Asta nu schimbă lucrurile?
Indeed!,Chiar așa!
Don't you know where it is?,Nu știi unde este?
"Presumably, the parrot escaped from the cage.",Probabil că papagalul a fugit din cușcă.
He didn't do any work.,El nu a făcut nici o treabă.
Cover your eyes.,Acoperă-ți ochii!
I want to leave Paris.,Vreau să părăsesc Parisul.
You have no fever.,N-ai febră.
That girl resembles her mother.,Fata seamănă cu mama sa.
Tom isn't in prison.,Tom nu este în închisoare.
They sell fish and meat.,Ei vând pește și carne.
"The rain is getting you down, isn't it?","Ploaia te deprimă, nu-i așa?"
Give him the benefit of the doubt.,Acordă-i prezumţia de nevinovăţie.
What a disappointment!,Ce dezamăgire!
I wish it would snow.,Aș dori să ningă.
They look cute together.,Ei arată drăguți împreună.
Give me the mic.,Dă-mi microfonul.
All right! Everybody around me is so encouraging I'm getting a rush of motivation.,Perfect! Toată lumea din jurul meu este atât de încurajatoare încât mi se precipită motivarea.
Tom and Mary like art and culture.,Lui Tom și Mary le place arta și cultura.
The entrance to the toilet is very dirty.,Intrarea de la toaletă este foarte murdară.
Where is the problem?,Unde este problema?
Why don't you call Tom up?,De ce nu-l chemi pe Tom?
It's a great accomplishment.,Este o realizare măreață!
What he needs is practice.,El are nevoie să exerseze.
This is my friend Rachel. We went to high school together.,"Aceasta este prietena mea, Rachel. Am fost la liceu împreună."
Who's on duty today?,Cine e de pază azi?
"At the time, the incident did not seem important.",La acel moment incidentul nu a părut important.
Tom has a younger brother.,Tom are un frate mai tânăr.
I have to go home and do my homework.,Trebuie să merg acasă și să-mi fac temele.
I can't pinpoint the problem.,Nu pot identifica problema.
Why didn't you get married?,De ce nu te-ai căsătorit?
What is that from?,De unde vine?
The prisoner was set at liberty.,Prizonierul a fost eliberat.
Mary divorced her husband and married Tom.,Mary a divorțat de soțul ei și s-a căsătorit cu Tom.
It snows.,Ninge!
He's sleeping like a baby.,Doarme ca un bebeluş.
Tom has gone to Boston.,Tom s-a dus la Boston.
We are from Russia.,Suntem din Rusia.
He can speak both English and French very well.,El poate vorbi foarte bine atât engleza cât și franceza.
His feet were asleep.,Picioarele lui erau amorțite.
To have doubts about oneself is the first sign of intelligence.,A avea îndoieli cu privire la sine e primul semn de inteligență.
"The four seasons of the year are spring, summer, autumn, and winter.","Cele patru anotimpuri din an sunt primăvara, vara, toamna și iarna."
The U.N. building is very impressive.,Clădirea ONU este foarte impunătoare.
I have a hangover today.,Am o mahmureală azi.
I suspected she was dangerous.,Am suspectat că e periculoasă.
What team do you support?,Cu ce echipă ții?
It's been five years since I last saw you.,Au trecut cinci ani decând te-am văzut ultima dată.
Tom is going to be driving my car.,Tom îmi va conduce mașina.
"He has two sons, I believe.",Cred că el are doi fii.
Ask Tom.,Întreabă-l pe Tom.
He could speak French.,El știa să vorbească franceza.
I don't like the taste.,Nu-mi place gustul.
Lightning can be dangerous.,Fulgerele pot fi periculoase.
On the table there was a cat.,O pisică a fost pe masă.
They took off their helmets.,Și-au dat jos căștile.
Just give her a second.,Doar las-o un moment.
I live in a city.,Eu trăiesc într-un oraș.
These shoes are Tom's.,Acești pantofi sunt ai lui Tom.
Imagine yourself in her place.,Închipuie-ţi că eşti in locul ei.
I sat down and opened my laptop.,M-am aşezat şi am deschis laptopul meu.
I would have liked to have seen 'Casablanca' when the movie was discussed.,Mi-ar fi plăcut să fi văzut 'Casablanca' când s-a discutat acest film.
Tom left the final decision to Mary.,Tom i-a lăsat lui Mary să ia decizia finală.
"Mathematicians are poets, except that they have to prove what their fantasy creates.","Matematicieni sunt poeți, cu excepția faptului că ei trebuie să dovedească ceea ce creează fantezia lor."
The shoes are worn out.,Pantofii sunt uzați.
Have you already been to place ...?,Ai fost deja la...?
This will cost €30.,Asta va costa 30 de euro.
Be honest with me.,Fii sincer cu mine.
Don't you see that they despise us?,Nu vezi că ne disprețuiesc?
How far is it to the airport?,Cât e până la aeroport?
Bearing can be unbearable.,Să rabzi poate fi de nesuportat.
"What changes the world is communication, not information.","Ceea ce schimbă lumea e comunicarea, nu informația."
Do you know what they did?,Știi ce au făcut?
Dead?,Mort?
It is snowing today.,Ninge azi.
"Making matters worse, she got sick.","Înrăutățind lucrurile, ea s-a îmbolnăvit."
Tom is arrogant.,Tom e arogant.
He broke into a house.,El a intrat ilegal într-o casă.
I need to study many languages.,Trebuie să învăț multe limbi.
He had to work even on Sunday.,El trebuia să muncească chiar și duminica.
He went out to eat.,A ieșit să mănânce.
It was not an accident.,Nu a fost un accident.
There are days where I feel like my brain wants to abandon me.,Există zile în care mă simt ca și cum creierul meu vrea să mă abandoneze.
The soup's cold.,Supa este rece.
Write!,Scrie!
Who should I meet but Tom?,Cu cine să mă întâlnesc în afară de Tom?
How many students are there in your university?,Câți studenți sunt în facultatea ta?
Thank you very much for your help.,Vă mulțumesc foarte mult pentru ajutor.
We often come across Japanese tourists in this area.,"De multe ori, întâlnim turiști japonezi în acestă zonă."
Sarah was discerning enough to realize that her friends were trying to prank her.,Sarah a avut suficient discernământ pentru a realiza că prietenii ei încercau să-i facă o farsă.
The cat is under the table.,Pisica este sub masă.
How convenient!,Cât de convenabil!
I'll have some cake.,Voi servi niște tort.
She studies crocodiles.,Ea studiază crocodilii.
They are a bunch of inept and vulturous morons.,Ei sunt o adunătură de proști și de cretini lacomi.
Traffic was immediately halted.,Traficul a fost oprit imediat.
You are saying you intentionally hide your good looks?,Spui că intenționat ți-ascunzi frumusețea?
Please open the window.,"Deschide fereastra, te rog."
Wash your legs.,Spală-ți picioarele.
Would you like to ask me something else?,Ai vrea să mă întrebi și altceva?
The young girl burst into tears.,Fetiţa a izbucnit în lacrimi.
I thought you liked to learn new things.,Credeam că îți place să înveți lucruri noi.
Tom says that learning a foreign language is hard.,Tom spune că învățarea unei limbi străine este dificilă.
Do we have time?,Avem timp?
Who will help me?,Cine mă va ajuta?
There is a gold coin.,Există o monedă de aur.
"Likewise, it was nice to meet you.",Și mie mi-a făcut plăcere să te cunosc.
Are you happy with how you look?,Ești mulțumit cum arăți?
The accent of this word is on the second syllable.,Accentul în acest cuvânt cade pe a doua silabă.
"A building, before it can be constructed, has to be visualized hundreds of times in the mind of an architect.","Înainte ca o clădire să poată fi construită, trebuie să fie vizualizată de sute de ori în mintea arhitectului."
Is there something wrong with this?,Este ceva greșit cu asta?
I am very tired.,Sunt foarte obosită.
I have to go to sleep.,Trebuie să mă duc la culcare.
Tom usually stays at five-star hotels.,Tom de obicei stă la hoteluri de cinci stele.
Do you want me to open the box?,Vrei să deschid cutia?
I think I'm going to stay here.,Cred că o să rămân aici.
Tom's smiling.,Tom zâmbește.
Each bedroom has a private bathroom.,Fiecare dormitor are o baie privată.
I don't like either tea or coffee.,Nu-mi place nici ceaiul nici cafeaua.
Don't trust Tom.,Să n-ai încredere în Tom.
Tom isn't the boss.,Tom nu este șeful.
Who discovered America?,Cine a descoperit America?
None of that was true.,Nimic din asta nu era adevărat.
We have not found it.,Nu am găsit-o.
Things are getting worse.,Lucrurile se înrăutățesc.
